market,symbol,strategy,total_return,cagr,max_drawdown,sharpe,sortino,volatility,win_rate,avg_win_loss_ratio,profit_factor,expectancy,exposure,trades_count,turnover_avg
us_equity,A,buy_hold,-0.056716962782038,-0.16806544666238854,-0.13101181779239368,-1.0378998832958488,-1.6146477331615574,0.2744048352398953,0.4625,1.0191709356765226,0.8804726570729018,-0.000898431746363524,1.0,1.0,0.016666666666666666
us_equity,A,lux_machine_supertrend,-0.1098013877481698,-0.363213043009749,-0.1757249478251543,-1.67221582186061,-2.7966358151960966,0.27323155106199987,0.4375,1.012005347242672,0.7841428015269182,-0.0018279401794111818,1.0,3.5,0.09999999999999999
us_equity,A,ma_crossover,-0.09903047960931044,-0.34333703151197725,-0.1516859170633412,-2.2666489458339556,-2.98223576908849,0.1826597263825536,0.41129032258064513,0.908335846472534,0.6300082423761142,-0.0032721869705259745,0.5166666666666667,3.25,0.09166666666666666
us_equity,A,naive_prev_bar,-0.05451564940995679,-0.06168138058372624,-0.16400642196950901,-1.2028803312625547,-1.6084359250682037,0.27333121828843304,0.4661016949152542,0.9771669084748746,0.9373539455853976,-0.0010550655967643565,0.9833333333333333,29.0,0.95
us_equity,A,policy,-0.009264361702680551,-0.03819631957360903,-0.013645818237221718,-2.3226645357431943,-2.5188913291360633,0.020273888270493777,0.4271729390681004,0.9089556277735001,0.678837598278258,-0.00023985233224273385,0.5625,43.0,0.03807356908986827
us_equity,AAPL,buy_hold,0.05851559228074382,0.27279630210393857,-0.11268890879209384,0.9987582976280183,1.7016428427538814,0.27011852305137257,0.5291666666666667,1.0328446400280802,1.1695532214819853,0.0010431362764610741,1.0,1.0,0.016666666666666666
us_equity,AAPL,lux_machine_supertrend,0.03138267860541749,0.22120481285079485,-0.11980404452962751,0.6136428829648678,0.8548854218165265,0.2620420429395751,0.5333333333333333,0.974125520527042,1.157565055184611,0.0005092739064418009,1.0,2.75,0.075
us_equity,AAPL,ma_crossover,-0.047420399705991906,-0.15553336102748566,-0.1050626117366564,-1.1550425128222646,-1.8312122391109185,0.18684890393420509,0.46774193548387094,0.8967485764924569,0.8455519690894828,-0.001657597322418521,0.5166666666666667,2.0,0.05
us_equity,AAPL,naive_prev_bar,-0.11593186148160439,-0.34692258848772156,-0.1854795340042461,-1.9350699812424326,-2.7618152482432543,0.25620539753062227,0.45090590298071304,0.8878535962276987,0.7617492396053119,-0.002112447285071201,0.9791666666666666,30.0,0.975
us_equity,AAPL,policy,-0.0016470940354120778,-0.006367756810385206,-0.014230265199569575,-0.5156228898196266,-0.2645141902236085,0.02448050677286805,0.5054107092795066,0.9519098365679874,1.0363900087084317,1.7812059051934185e-05,0.5833333333333333,43.5,0.04127342704595224
us_equity,ABBV,buy_hold,0.11772922663961136,0.7454115601338978,-0.08124185276193971,2.4559743737190622,3.948841899668206,0.19212638568890095,0.575,1.1187341047126655,1.6270486157670467,0.0017731929237156706,1.0,1.0,0.016666666666666666
us_equity,ABBV,lux_machine_supertrend,0.07345011728327858,0.5521757641269521,-0.09715131105030225,1.5028239822800866,2.5170648816600263,0.19610889131805753,0.5416666666666667,1.09876487358872,1.4573316128078406,0.001032450471133725,1.0,2.5,0.06666666666666667
us_equity,ABBV,ma_crossover,0.018384510637482643,0.11204707858015411,-0.08094052007231858,0.604417014082083,0.8210640399481628,0.14817621075474657,0.5161290322580645,1.0864487160255938,1.2423950747647552,0.0006023098857410796,0.5166666666666667,1.5,0.03333333333333333
us_equity,ABBV,naive_prev_bar,-0.05682435997131052,-0.18020876507222952,-0.12105384141326789,-1.1776027104480051,-2.016828495469079,0.20736642565966668,0.4364406779661017,1.0846354281829609,0.8618066105605184,-0.0009581606198670458,0.9833333333333333,29.25,0.9583333333333333
us_equity,ABBV,policy,-0.001521345751401254,-0.005606561483426559,-0.011093816449952137,-0.59766806720537,0.1951573600901222,0.01762415487023028,0.4551635278617376,1.176246013365259,1.2028403944228798,-2.1480585602951457e-05,0.3833333333333333,29.75,0.037447064500198614
us_equity,ABNB,buy_hold,0.07838718831188343,0.8407556013733183,-0.21133906861046797,0.9405719793154281,1.409187216079009,0.5266247909611292,0.5333333333333333,1.0495606262373105,1.2475125239415088,0.0013697011463452162,1.0,1.0,0.016666666666666666
us_equity,ABNB,lux_machine_supertrend,-0.10579231955024135,-0.24485419888254267,-0.2496095876060682,-0.6216848128468366,-1.0445813020299264,0.5217484481848326,0.4708333333333333,1.0363411698961853,0.9300044657737956,-0.001616065546140374,1.0,2.75,0.075
us_equity,ABNB,ma_crossover,-0.1516317971060021,-0.4374044898213304,-0.22240450773718923,-2.3166234052269368,-2.5713709577548514,0.3235529253789217,0.4274193548387097,0.7987711803671456,0.659020653318655,-0.005182761920672624,0.5166666666666667,2.0,0.05
us_equity,ABNB,naive_prev_bar,-0.10374507416969503,-0.17904982656165896,-0.27710697461474776,-0.788372146435901,-1.2341232243263338,0.5219041634352165,0.48063997662185853,0.9734663101752833,0.9170622751286992,-0.0016734327638515357,0.9791666666666666,31.25,1.0166666666666666
us_equity,ABNB,policy,-0.011315647717413557,-0.04031424799874472,-0.03385119240801843,-1.0571160494980512,-0.7815233793162175,0.05301680073966185,0.4904145005579939,0.9406380764720199,0.9826358851478614,-0.00020564397100303642,0.7333333333333333,52.5,0.04854024886498993
us_equity,ABT,buy_hold,-0.022317022692111194,-0.06506886039063206,-0.1035047996475377,-0.5064039308433418,-0.7805870665857619,0.21215175890740237,0.4916666666666667,0.9573549077469832,0.9455398558590872,-0.00036801777909791097,1.0,1.0,0.016666666666666666
us_equity,ABT,lux_machine_supertrend,-0.07705104210626185,-0.24474959622474163,-0.13819090191173417,-1.5078664731652016,-2.766810284893033,0.2050254605316522,0.4666666666666667,0.8957983059467047,0.8244453516665636,-0.0013682285904609065,1.0,3.25,0.09166666666666666
us_equity,ABT,ma_crossover,-0.0321800482326704,-0.09484573787378539,-0.08243508894321769,-1.1456373535683553,-1.475838425625388,0.14309768918197108,0.45967741935483875,0.9574000351122985,0.8947930139021963,-0.0011564085603233915,0.5166666666666667,2.25,0.058333333333333334
us_equity,ABT,naive_prev_bar,-0.06651387873767092,-0.16685279860426278,-0.13630477652237682,-1.512621722372959,-2.4665831255554607,0.2127969272059151,0.4661016949152542,0.9291248164188708,0.8469374423096611,-0.001197874684580912,0.9833333333333333,28.75,0.9416666666666667
us_equity,ABT,policy,-0.0061178379607591815,-0.025325414254952078,-0.007912082559146688,-1.7806653474280314,-1.8974757610128716,0.013485404375262751,0.4546296296296296,0.860195485465198,0.7334892422183728,-0.0001689942750348843,0.4666666666666667,36.75,0.030774087969364136
us_equity,ACGL,buy_hold,0.04942911490981711,0.238128991563144,-0.07283801021486738,0.966636751729981,1.5550103563992963,0.22401794262235813,0.5458333333333334,0.9689509087564553,1.1788875957390763,0.0008365727107152213,1.0,1.0,0.016666666666666666
us_equity,ACGL,lux_machine_supertrend,-0.07786784601144092,-0.27552810165255304,-0.12546954719713738,-1.4493820734306129,-2.288265953683097,0.22341937259199152,0.4625,0.933157305341457,0.8036801823047746,-0.001323316302727542,1.0,3.0,0.08333333333333333
us_equity,ACGL,ma_crossover,-0.04086462429449142,-0.14046721733490936,-0.0841884794927159,-0.7846445815327902,-0.9516388559312362,0.15714971436188466,0.49193548387096775,0.8783827597350589,0.8645689374596426,-0.0014501757533575187,0.5166666666666667,2.25,0.058333333333333334
us_equity,ACGL,naive_prev_bar,-0.13618266289928715,-0.4217681349466091,-0.1763552473021786,-2.8396747615389573,-4.313859160074765,0.21891139090707676,0.44849503214494446,0.7856500740701016,0.6707556900794369,-0.0025431449801282973,0.975,29.75,0.9583333333333334
us_equity,ACGL,policy,-0.005887930879052039,-0.024186049134058862,-0.011365837801640355,-1.7137431755572627,-1.3526446750608547,0.020607540503170204,0.45512991966081207,0.7546066075770322,0.6940888313063867,-0.0002151358651800599,0.35416666666666663,28.5,0.030924301725443547
us_equity,ACN,buy_hold,-0.016810919213394032,-0.04353893491142807,-0.11886070512553357,-0.2787935651032811,-0.4573448059422412,0.25051505543733577,0.5166666666666667,0.8974755692025365,0.9718278425891619,-0.00018762668879775428,1.0,1.0,0.016666666666666666
us_equity,ACN,lux_machine_supertrend,0.00976760840469229,0.2607114919434719,-0.13535951535519244,0.5221807245295179,1.1942457586384756,0.25007860918027414,0.5166666666666667,1.0124669911460438,1.2371474282869397,6.233133802805834e-05,1.0,3.25,0.09166666666666667
us_equity,ACN,ma_crossover,-0.044228196351423055,-0.15677691936556717,-0.09312435537191782,-0.9312380886044249,-1.040935275354767,0.17781803931579487,0.49193548387096775,0.8433029055851007,0.8402698762472645,-0.0013833753514061152,0.5166666666666667,2.5,0.06666666666666667
us_equity,ACN,naive_prev_bar,-0.1267400842570808,-0.4132745867098853,-0.1747889277394133,-2.244227393968676,-3.4086277164382857,0.24463783093142458,0.44476914085330216,0.8972643573868527,0.7158613379792118,-0.002217165517255741,0.975,31.25,1.0083333333333333
us_equity,ACN,policy,-0.0013154066495362216,-0.0046717403151946,-0.009558061166810627,-0.8774560237299975,-0.6670568688926799,0.019999962194423716,0.5164565826330532,0.8368488769348088,1.0509059201654605,-1.695317639113786e-06,0.625,47.25,0.04113566693981907
us_equity,ADBE,buy_hold,-0.07455675319662522,-0.22108448140474654,-0.1696658944031574,-0.811259452571994,-1.3036036346644229,0.34230315423426627,0.5041666666666667,0.8679567224066651,0.8924827211552768,-0.0011438226085229261,1.0,1.0,0.016666666666666666
us_equity,ADBE,lux_machine_supertrend,0.025091788094873113,0.27138025424933865,-0.14437974373473336,0.26575044209098464,0.5909376746802805,0.32646569528530434,0.4916666666666667,1.0867345346131747,1.089811876508306,0.0004370979099059219,1.0,2.25,0.058333333333333334
us_equity,ADBE,ma_crossover,-0.05774789837004027,-0.15745362655815467,-0.1358783989460189,-1.0331464282526701,-1.4040182376541468,0.2244086539904341,0.41935483870967744,1.1490463364982426,0.8909190316695585,-0.0019181216798727558,0.5166666666666667,1.75,0.041666666666666664
us_equity,ADBE,naive_prev_bar,-0.08089103576157256,-0.05280475821449093,-0.21480627719261053,-1.4073887780453471,-1.9914559876236493,0.3246524664513144,0.4915254237288136,0.8447326998953426,0.9253787935435482,-0.0016967813121676477,0.9833333333333333,28.75,0.9416666666666667
us_equity,ADBE,policy,-0.011341505803958651,-0.04319475591905203,-0.024543633586751407,-2.2876846793707406,-1.7098054581359552,0.03054938387894917,0.42652871277029786,0.8722641431005257,0.8159354775734293,-0.0003277601737961356,0.6708333333333334,49.5,0.04197237660928272
